Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
бисер,386 115,,,,(ID) 4954 - Бисер,817,817,817,817,817,
обувь,384 835,,,,(ID) 2956 - Полуботинки,254,254,254,254,254,
кожаная куртка,384 004,,,,(ID) 2110 - Косуха,2069,2069,2069,2069,2069,
масло для губ,382 745,,,,(ID) 362 - Масло,1036,1036,1036,1036,1036,
шапка женская,382 431,,,,(ID) 82 - Шапка,991,991,991,991,991,
пылесос,381 219,,,,(ID) 710 - Пылесос,2000,2000,2000,2000,2000,
штаны мужские,380 646,,,,(ID) 11 - Штаны Мужские,1529,1529,1529,1529,1529,
искусственные цветы,378 285,,,,(ID) 1156 - Искусственное растение,120,120,120,120,120,
сумки,377 121,,,,(ID) 50 - Сумка,800,800,800,800,800,
кушон,376 974,,,,(ID) 2802 - Кушон,503,503,503,503,503,
сушилка для белья,375 927,,,,(ID) 2159 - Сушилка для белья,604,604,604,604,604,
кроссовки мужские летние,375 681,,,,(ID) 105 - Кроссовки,401,401,401,401,401,
юбка джинсовая,375 589,,,,(ID) 38 - Юбка,571,571,571,571,571,
тени,375 367,,,,(ID) 346 - Тени,376,376,376,376,376,
сыворотка для лица,375 085,,,,(ID) 372 - Сыворотка,5001,5001,5001,5001,5001,
повязка на голову,374 804,,,,(ID) 256 - Повязка на голову,442,442,442,442,442,
стринги,374 595,,,,(ID) 133 - Трусы,4608,4608,4608,4608,4608,
блендер,374 553,,,,(ID) 614 - Блендер,1000,1000,1000,1000,1000,
топы,372 419,,,,(ID) 185 - Топ,555,555,555,555,555,
велосипед,372 216,,,,(ID) 2151 - Велосипед двухколесный,200,200,200,200,200,
костюмы,370 959,,,,(ID) 177 - Костюм,2239,2239,2239,2239,2239,
велосипедки женские,370 570,,,,(ID) 3835 - Велосипедки Женские,1100,1100,1100,1100,1100,
карандаш для бровей,370 531,,,,(ID) 350 - Косметический карандаш,650,650,650,650,650,
ботильоны,370 254,,,,(ID) 343 - Ботильоны,350,350,350,350,350,
ботинки,370 221,,,,(ID) 94 - Ботинки,366,366,366,366,366,
свадебное платье,368 984,,,,(ID) 69 - Платье,470,470,470,470,470,
